mulheim (moselle),muelheim
frickenhausen am main,frickenhausen
samtgemeinde meinersen,meinersen
oberndorf am lech,oberndorf
kernen,kernen
furstenau,fuerstenau
ueckermunde,ueckermuende
kussaberg,kuessaberg
selters(westerwald),selters
kirchheim bei munchen,kirchheim
bad duben,bad dueben
bad soden-salmunster,bad soden-salmuenster
lutjenburg,luetjenburg
bad munder,bad muender
hohr-grenzhausen,hoehr-grenzhausen
hunxe,huenxe
konigstein im taunus,koenigstein im taunus
horstel,hoerstel
bodenwohr,bodenwoehr
loningen,loeningen
korntal-munchingen,muenchingen
ubach-palenberg,ubach-palenberg
muncheberg,muencheberg
bruchkobel,bruchkoebel
muhlheim am main,muhlheim
lubben,luebben
bad wunnenberg,bad wuennenberg
karlstadt am main,karlstadt
winsen an der aller,winsen
budingen,buedingen
georgsmarienhutte,georgsmarienhutte
frondenberg,frondenberg
rosrath,roesrath
bad schonborn,bad schoenborn
mulheim-karlich,muelheim
lubbecke,luebbecke
bersenbruck,bersenbrueck
kolleda,koelleda
grunhain-beierfeld,gruenhain-beierfeld
visselhovede,visselhoevede
konigswinter,koenigswinter
morfelden-walldorf,moerfelden-walldorf
wurselen,wuerselen
mulheim,muelheim
huckelhoven,huckelhoven
markranstadt,markranstaedt
luneburg,lueneburg
niebull,niebull
barsbuttel,barsbuettel
stolberg (rhineland),stolberg
hann. munden,muenden
bergen auf rugen,bergen
tonning,toenning
zweibrucken,zweibruecken
hartheim am rhein,hartheim
schwabisch hall,schwabisch
wulfrath,wuelfrath
florsheim am main,florsheim
konigslutter am elm,koenigslutter
julich,julich
dusseldorf,duesseldorf
brunswick,brunswick
frankfurt an der oder,frankfurt
wurzburg,wuerzburg
sommerda,sommerda
hoxter,hoxter
lunen,lunen
wolfenbuttel,wolfenbuettel
waldbrol,waldbrol
kunzelsau,kuenzelsau
nuremberg,nuremberg
sudbrookmerland,suedbrookmerland
rodermark,roedermark
budelsdorf,buedelsdorf
bad munstereifel,bad muenstereifel
monchengladbach,monchengladbach
quakenbruck,quakenbrueck
lubeck,luebeck
gustrow,gustrow
schalksmuhle,schalksmuehle
lorrach,lorrach
osnabruck,osnabrueck
boblingen,boblingen
kuhlungsborn,kuehlungsborn
altdorf bei nurnberg,altdorf
saarbrucken,saarbruecken
hanover,hannover
plon,ploen
donauworth,donauworth
wertheim am main,wertheim
tubingen,tuebingen
altotting,altoetting
remseck,remseck
haselunne,haselunne
schonefeld,schoenefeld
schmolln,schmolln
gluckstadt,glueckstadt
huckeswagen,hueckeswagen
furstenwalde,fuerstenwalde
schoppenstedt,schoppenstedt
herxheim bei landau/pfalz,herxheim
bremervorde,bremervorde
ruhstorf an der rott,ruhstorf
dallgow-doberitz,doberitz
hamelin,hamelin
bad durkheim,bad durkheim
gaufelden,gaeufelden
tonisvorst,tonisvorst
delbruck,delbruck
dulmen,duelmen
russelsheim,ruesselsheim
hullhorst,huellhorst
volklingen,volklingen
gutersloh,guetersloh
sprockhovel,sprockhovel
burstadt,burstadt
eisenhuttenstadt,eisenhuettenstadt
wittlich-land,wittlich
erbach im odenwald,erbach
lobau,lobau
ibbenburen,ibbenbueren
hansestadt salzwedel,salzwedel
unterfohring,unterfoehring
neustadt am rubenberge,neustadt am ruebenberge
wachtersbach,wachtersbach
muhlenbecker land,muehlenbecker
lohr a. main,lohr
eckernforde,eckernfoerde
wipperfurth,wipperfuerth
lubbenau,lubbenau
willstatt,willstaett
ludenscheid,ludenscheid
anrochte,anroechte
grevesmuhlen,grevesmuehlen
dobeln,dobeln
worth am rhein,worth
walddorfhaslach,walddorfhaeslach
rheda-wiedenbruck,rheda-wiedenbrueck
bernstadt auf dem eigen,bernstadt
brunsbuttel,brunsbuettel
furstenfeldbruck,fuerstenfeldbruck
ludinghausen,ludinghausen
bad tolz,bad tolz
goppingen,goeppingen
weilheim in oberbayern,weilheim
zwonitz,zwonitz
numbrecht,numbrecht
konigs wusterhausen,konigs wusterhausen
